sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-14T17:44:05.574368,55.0,55.1,-495.08866333810147,21.003048084967304,-1065.5368978119805,215.28094761335524,0.9716302752494812,0.9681654572486877,24.0,7.367210608458959e-06,20,4
1,2026-07-14T17:44:05.997848,55.5,55.6,-494.8831640766002,21.739223600307014,-1067.5950398409623,223.3308497190592,0.9713993072509766,0.9704941511154175,24.0,7.359610975378969e-06,20,4
2,2026-07-14T17:44:06.459049,56.0,56.1,-495.36030029295944,24.016643576906063,-1070.779097363993,224.45676521310816,0.9702818989753723,0.9685612916946411,25.0,7.40480629931081e-06,20,4
3,2026-07-14T17:44:06.882874,56.5,56.6,-501.52724652172765,22.73483209137339,-1069.9681232668809,225.50591374165379,0.9719201922416687,0.9713722467422485,25.0,7.407668671289297e-06,20,4
4,2026-07-14T17:44:07.291266,57.0,57.1,-495.47958434704924,22.778136533452198,-1069.3035969193443,226.54325196781429,0.9706506729125977,0.9666317701339722,25.0,7.388083570279846e-06,20,4
5,2026-07-14T17:44:07.697967,57.5,57.6,-506.05925322364783,24.06427846319275,-1070.0728412813623,230.79653553344542,0.9700776934623718,0.9655138254165649,26.0,7.414549391926139e-06,20,4
6,2026-07-14T17:44:08.107823,58.0,58.1,-508.7272005324485,25.99211348919198,-1069.5098835343379,232.74759748746874,0.968714714050293,0.9645461440086365,27.0,7.413950248485352e-06,20,4
7,2026-07-14T17:44:08.529739,58.5,58.6,-506.21199980116216,26.766081972164102,-1068.9284229802433,231.65356980985962,0.9719505906105042,0.9670107364654541,25.0,7.404916870411542e-06,20,4
8,2026-07-14T17:44:08.961346,59.0,59.1,-504.169211165281,26.242491899756715,-1072.0565784053179,233.90028300025733,0.968715250492096,0.9631983041763306,27.0,7.423829267504553e-06,20,4
9,2026-07-14T17:44:09.384479,59.5,59.6,-505.1400180213386,24.611882817116566,-1071.4440173882758,238.1476614146959,0.9685407280921936,0.9654634594917297,27.0,7.4133902233982595e-06,20,4
10,2026-07-14T17:44:09.792587,60.0,60.1,-503.58420752047095,23.896178492577747,-1070.6511524214875,240.8691487609758,0.9678915143013,0.9649694561958313,27.0,7.418060563926986e-06,20,4
11,2026-07-14T17:44:10.201171,60.5,60.6,-505.55337860481814,28.352599259233102,-1074.2521136187133,242.14033097436186,0.968161404132843,0.9631714820861816,29.0,7.47436750318051e-06,20,4
12,2026-07-14T17:44:10.607331,61.0,61.11,-502.14531901321607,28.373857803526334,-1074.7205889466568,244.67521554295672,0.968361496925354,0.9662381410598755,28.0,7.457199467452952e-06,20,4
13,2026-07-14T17:44:11.016403,61.5,61.6,-500.55250289820833,30.929607239668258,-1073.756080918538,245.73774908087216,0.9705442190170288,0.9665567874908447,28.0,7.4961366331024574e-06,20,4
14,2026-07-14T17:44:11.424238,62.0,62.1,-498.44515127595514,25.306328597362153,-1073.815919783956,247.5514178504818,0.9691282510757446,0.964719295501709,28.0,7.483347568374501e-06,20,4
15,2026-07-14T17:44:11.871895,62.5,62.6,-509.21024190000026,28.049468164681457,-1075.966969525034,248.468290992314,0.9675212502479553,0.9646315574645996,29.0,7.4752801264271015e-06,20,4
