sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-14T17:52:17.823133,55.0,55.14,-473.597062411136,2.066015563905239,-933.9394224554417,55.28481281828135,0.9768988490104675,0.9724615812301636,20.0,7.330372386908049e-06,20,4
1,2026-07-14T17:52:18.346860,55.5,55.63,-477.1307048847666,1.1180419591255486,-928.5873870912474,52.28263395198155,0.9757455587387085,0.973433256149292,21.0,7.331647370984047e-06,20,4
2,2026-07-14T17:52:18.825289,56.0,56.13,-479.7447184793418,3.829293710005004,-926.7134857794736,54.21046897798078,0.976365864276886,0.9721747636795044,20.0,7.326394317002261e-06,20,4
3,2026-07-14T17:52:19.318624,56.5,56.64,-473.0585126223741,2.813214028137736,-925.3820710239233,54.371089090418536,0.976885199546814,0.9728261232376099,20.0,7.3367881915073785e-06,20,4
4,2026-07-14T17:52:19.773755,57.0,57.14,-477.34014091372956,3.1100462947506458,-923.9392457492067,56.87566054955823,0.9778908491134644,0.9696861505508423,21.0,7.330617063627446e-06,20,4
5,2026-07-14T17:52:20.307273,57.5,57.63,-486.3163644031738,-0.7983764412347227,-923.2979463296942,58.348798933729995,0.9770098924636841,0.9712332487106323,20.0,7.3140104854705205e-06,20,4
6,2026-07-14T17:52:20.800617,58.0,58.13,-474.94304320629453,1.8624846861348487,-923.6132814033772,53.36918177141342,0.9772285223007202,0.9716879725456238,20.0,7.331022729866764e-06,20,4
7,2026-07-14T17:52:21.255180,58.5,58.64,-479.75810348871164,4.18557116528973,-918.3529727210407,52.50112454610644,0.9771749973297119,0.9725618958473206,20.0,7.325210324957631e-06,20,4
8,2026-07-14T17:52:21.734433,59.0,59.14,-470.64566784509225,-0.5672881912323646,-912.136423222255,56.81464065390173,0.9781419634819031,0.9704120755195618,21.0,7.339849914953989e-06,20,4
9,2026-07-14T17:52:22.212030,59.5,59.63,-477.3299053183291,1.30976253451081,-913.8756870868383,55.85761248396011,0.977868378162384,0.9696103930473328,20.0,7.3179432641108056e-06,20,4
10,2026-07-14T17:52:22.665980,60.0,60.14,-475.2634960776777,1.503845170373097,-910.5211675327155,53.675462279934436,0.9771183729171753,0.9712845683097839,20.0,7.3209392489200766e-06,20,4
11,2026-07-14T17:52:23.176802,60.5,60.64,-473.4305371475057,1.7286345924367197,-913.0588078385335,57.73702527018031,0.9777300357818604,0.9726455807685852,20.0,7.325789427592998e-06,20,4
12,2026-07-14T17:52:23.670106,61.0,61.14,-475.67095150996465,3.841891365882475,-910.8113072946435,59.27000251977006,0.9774482250213623,0.9695243835449219,20.0,7.320984262333249e-06,20,4
13,2026-07-14T17:52:24.148809,61.5,61.64,-479.79707748658257,-1.2129180549527518,-908.6197088487097,57.32169630296994,0.9769763350486755,0.9698342084884644,20.0,7.315218368983149e-06,20,4
