sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW
0,2026-07-01T16:32:32.521118,0.0,0.0,-328.93542423291365,-8.874851727305213,-91.0826267010998,-15.905327898799442,0.5579286217689514,0.7181992530822754,4.0,1.7227523037824826e-06
1,2026-07-01T16:32:35.643708,3.75,0.0,-330.7939721515868,-5.311880336084869,-71.30155123624718,-16.23011121439049,0.5788456797599792,0.7180389165878296,4.0,1.7220790578428704e-06
2,2026-07-01T16:32:38.483398,7.5,7.54,-333.0056481115753,-4.099355957878288,-91.4365420959075,-5.516198567347601,0.5359960794448853,0.6987205743789673,4.0,1.721153585276175e-06
3,2026-07-01T16:32:41.232976,11.25,7.54,-335.0004081844236,-7.366085597604979,-79.50656197994249,-20.457215276401257,0.5605570077896118,0.6728344559669495,4.0,1.7202799845408052e-06
4,2026-07-01T16:32:43.934968,15.0,11.29,-338.13171302346746,-1.9616912261699326,-75.66388326056767,-16.906841541058384,0.5777886509895325,0.7177319526672363,4.0,1.7191138599211278e-06
5,2026-07-01T16:32:46.744501,18.75,15.05,-331.8120202171849,-4.708373884204775,-71.14959201222518,-17.069233198853908,0.5515487194061279,0.717663586139679,4.0,1.7217750487507997e-06
6,2026-07-01T16:32:49.552062,22.5,22.57,-335.48226852173684,-1.6774566154344939,-72.99947904248256,-13.938322036556201,0.5589925646781921,0.7047964334487915,4.0,1.7201832809345323e-06
7,2026-07-01T16:32:52.331400,26.25,26.33,-334.3697380370577,-4.100536988116801,-94.46194789023139,-21.22941221401561,0.5393953919410706,0.7035276293754578,4.0,1.720613955981366e-06
8,2026-07-01T16:32:55.140848,30.0,26.33,-330.1782617205754,-5.53627608140232,-60.49354984686943,-16.82554729297408,0.5875271558761597,0.7177667021751404,4.0,1.7222469664668629e-06
9,2026-07-01T16:32:57.952259,33.75,33.85,-326.67217661917675,-3.462780659319833,-92.81913482845994,-17.04206950336811,0.5262387990951538,0.7176749110221863,4.0,1.723602936571093e-06
10,2026-07-01T16:33:00.731120,37.5,37.6,-339.59107272152323,-4.5934202743228525,-97.65387894818559,-17.09620005596662,0.5432004928588867,0.7176523208618164,4.0,1.718309211877354e-06
11,2026-07-01T16:33:03.633241,41.25,41.36,-330.58847289008554,-7.060395604203222,-97.58656022459036,-16.717286187777063,0.5229395627975464,0.7178142666816711,4.0,1.7222469664668629e-06
12,2026-07-01T16:33:06.363302,45.0,41.36,-328.4819086213247,-5.6327268842142075,-85.17747550853528,-16.879677845572587,0.5559641718864441,0.717743456363678,4.0,1.7228900112068333e-06
