sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,peak_x_um,peak_y_um,peak_intensity_counts,total_power_mW
0,2026-06-25T15:51:25.561378,0.0,0.0,-647.2431510261958,99.01481945969863,-393.44998836517334,-1431.8999576568604,255.0,0.0008352488227549696
1,2026-06-25T15:51:27.619933,3.75,0.0,-644.4275749375811,98.941989261657,-393.44998836517334,-1431.8999576568604,255.0,0.0008352367175419566
2,2026-06-25T15:51:29.158677,7.5,3.77,-639.8491143796127,99.53604747162899,-393.44998836517334,-1431.8999576568604,255.0,0.0008353104520140849
3,2026-06-25T15:51:30.962692,11.25,11.26,-634.6124263020465,99.11166393925669,-393.44998836517334,-1431.8999576568604,255.0,0.0008352462549678522
4,2026-06-25T15:51:32.750249,15.0,15.01,-629.6694210771238,98.9541932407883,-393.44998836517334,-1431.8999576568604,255.0,0.0008350107857659837
5,2026-06-25T15:51:34.645350,18.75,18.76,-624.1063749769819,98.61445020884275,-354.7499895095825,-1425.4499578475952,255.0,0.00083499208311503
6,2026-06-25T15:51:36.716016,22.5,22.51,-618.0480835301569,98.7522370700026,-341.84998989105225,-1431.8999576568604,255.0,0.0008350441582033873
7,2026-06-25T15:51:38.599481,26.25,22.51,-612.213400475157,98.78018811898073,-348.2999897003174,-1425.4499578475952,255.0,0.000834612619816885
8,2026-06-25T15:51:40.209137,30.0,26.26,-605.593332311546,98.50461439666105,-348.2999897003174,-1438.3499574661255,255.0,0.0008346511082322653
9,2026-06-25T15:51:42.275025,33.75,30.01,-598.9153936662478,98.1920350602013,-341.84998989105225,-1431.8999576568604,255.0,0.0008347959138837132
10,2026-06-25T15:51:43.981710,37.5,33.77,-591.9528267334681,98.27313246991253,-386.9999885559082,-1451.2499570846558,255.0,0.000834637178886526
11,2026-06-25T15:51:45.611888,41.25,41.27,-584.3808481976157,98.51957411301555,-386.9999885559082,-1451.2499570846558,255.0,0.0008347592518502895
12,2026-06-25T15:51:47.069350,45.0,41.27,-577.7418835501885,98.44398817775073,-386.9999885559082,-1451.2499570846558,255.0,0.0008346514747971349
13,2026-06-25T15:51:48.733417,48.75,45.02,-569.7085158678237,98.35698561684694,-386.9999885559082,-1451.2499570846558,255.0,0.0008349224102595394
14,2026-06-25T15:51:50.582150,52.5,48.77,-562.5786363179213,98.209750513779,-386.9999885559082,-1451.2499570846558,255.0,0.0008347456873060064
15,2026-06-25T15:51:52.574644,56.25,52.52,-554.9432758259354,98.13731399248354,-386.9999885559082,-1451.2499570846558,255.0,0.0008348201117078202
16,2026-06-25T15:51:54.469981,60.0,56.27,-547.1413900703192,97.93378311471315,-386.9999885559082,-1451.2499570846558,255.0,0.0008346390116818944
17,2026-06-25T15:51:56.440813,63.75,60.02,-539.0312554224511,97.75387284171302,-386.9999885559082,-1451.2499570846558,255.0,0.0008347772160454804
18,2026-06-25T15:51:58.196320,67.5,67.52,-530.6967250292655,97.66293351334753,-386.9999885559082,-1451.2499570846558,255.0,0.0008347658508974785
19,2026-06-25T15:51:59.593049,71.25,67.52,-522.981841834553,97.41216142603662,-386.9999885559082,-1451.2499570846558,255.0,0.00083478784809821
20,2026-06-25T15:52:01.147648,75.0,71.27,-515.1653900393285,97.84874893754022,-386.9999885559082,-1451.2499570846558,255.0,0.0008349198434759047
21,2026-06-25T15:52:02.873488,78.75,78.77,-507.1662722338806,97.65702836215496,-335.3999900817871,-1444.7999572753906,255.0,0.00083466980324586
22,2026-06-25T15:52:04.709108,82.5,78.77,-499.9844273534836,97.37830522586592,-638.5499811172485,-1406.0999584197998,255.0,0.0008346892318409378
23,2026-06-25T15:52:06.435119,86.25,82.51,-492.1919898397755,97.30744341155514,-599.8499822616577,-1412.549958229065,255.0,0.0008348487100406087
24,2026-06-25T15:52:08.274618,90.0,90.01,-484.658985301794,97.1058809175156,-348.2999897003174,-1412.549958229065,255.0,0.000834998684002827
25,2026-06-25T15:52:09.873611,93.75,90.01,-477.79838064627256,97.67749955295585,-599.8499822616577,-1412.549958229065,255.0,0.0008347214916391408
26,2026-06-25T15:52:11.586301,97.5,93.77,-470.762589838705,96.91376666538417,-348.2999897003174,-1412.549958229065,255.0,0.0008348325775273074
27,2026-06-25T15:52:13.232686,101.25,97.52,-463.3685531921219,97.0625764754368,-393.44998836517334,-1418.99995803833,255.0,0.0008349462450558467
28,2026-06-25T15:52:14.958937,105.0,101.26,-456.81147330789827,96.85432147671236,-393.44998836517334,-1418.99995803833,255.0,0.000834836610626407
29,2026-06-25T15:52:16.684156,108.75,105.01,-449.37531324947486,96.69133930379758,-393.44998836517334,-1418.99995803833,255.0,0.0008350867008265783
30,2026-06-25T15:52:18.726536,112.5,108.76,-443.027275717468,96.09216329612536,-393.44998836517334,-1418.99995803833,255.0,0.0008351343804798568
31,2026-06-25T15:52:20.639194,116.25,112.51,-436.15171134559205,96.17759115004446,-393.44998836517334,-1418.99995803833,255.0,0.0008351325465967011
32,2026-06-25T15:52:22.582557,120.0,120.01,-429.92925669561373,96.44765339791775,-393.44998836517334,-1418.99995803833,255.0,0.0008348410103931002
33,2026-06-25T15:52:24.543337,123.75,120.01,-423.77923856693087,95.85123312746873,-393.44998836517334,-1418.99995803833,255.0,0.0008351149415233018
34,2026-06-25T15:52:26.694307,127.5,127.5,-417.705200050259,96.32640096009709,-393.44998836517334,-1418.99995803833,255.0,0.0008351208098398654
35,2026-06-25T15:52:28.256942,131.25,127.5,-411.9921631098259,95.72407553845551,-341.84998989105225,-1425.4499578475952,255.0,0.0008351842636461765
36,2026-06-25T15:52:29.962564,135.0,131.25,-406.5901307988679,95.43629783700453,-341.84998989105225,-1425.4499578475952,255.0,0.0008351233772413285
37,2026-06-25T15:52:31.736924,138.75,135.0,-400.8566226676339,95.65282004739856,-386.9999885559082,-1431.8999576568604,255.0,0.0008353489726102098
38,2026-06-25T15:52:33.417642,142.5,142.49,-395.4522282961989,95.5343233468011,-380.54998874664307,-1451.2499570846558,255.0,0.0008352711995197002
39,2026-06-25T15:52:35.000184,146.25,142.49,-390.7548773608869,95.43039268581197,-380.54998874664307,-1451.2499570846558,255.0,0.0008353753877599421
40,2026-06-25T15:52:36.459582,150.0,146.26,-385.5670051998459,95.3784273553174,-380.54998874664307,-1451.2499570846558,255.0,0.0008353878618710013
41,2026-06-25T15:52:37.930097,146.25,146.25,-386.5618263374199,95.06506066536531,-380.54998874664307,-1451.2499570846558,255.0,0.0008354333572662692
42,2026-06-25T15:52:39.388359,142.5,142.5,-389.6088843527832,95.67525962193031,-380.54998874664307,-1451.2499570846558,255.0,0.0008353878618710013
43,2026-06-25T15:52:40.687033,138.75,142.5,-392.521304920956,95.01467004185542,-380.54998874664307,-1451.2499570846558,255.0,0.0008352811041807309
44,2026-06-25T15:52:42.108114,135.0,138.75,-395.98408558027586,95.08435082592769,-380.54998874664307,-1451.2499570846558,255.0,0.0008353265937619522
45,2026-06-25T15:52:43.798435,131.25,135.0,-399.17877237545326,95.26544212916633,-386.9999885559082,-1431.8999576568604,255.0,0.0008352811041807309
46,2026-06-25T15:52:45.255303,127.5,131.25,-403.1403414721717,95.80517294816673,-386.9999885559082,-1431.8999576568604,255.0,0.0008351186092163214
