sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW
0,2026-07-01T16:33:25.504349,0.0,0.0,-943.777010665508,154.4511978252558,-1716.4233302856155,363.80337364127627,0.9650720953941345,0.9588227272033691,21.0,3.1251958795828736e-06
1,2026-07-01T16:33:26.664969,3.75,3.79,-885.094373851025,140.19104504870484,-1694.9396028935735,350.8368426526431,0.9642294049263,0.9586141109466553,19.0,2.9229915537430554e-06
2,2026-07-01T16:33:27.484804,7.5,3.79,-802.372260208358,118.60496170265833,-1676.5867866638291,335.9263358914177,0.9622578024864197,0.9543639421463013,17.0,2.7018356982937496e-06
3,2026-07-01T16:33:28.264068,11.25,7.54,-828.9308745352901,126.3887383279507,-1651.8601470752037,335.79917830240447,0.9640786647796631,0.9582018256187439,18.0,2.7869122274291873e-06
4,2026-07-01T16:33:29.024066,15.0,15.05,-868.6418352750479,138.56594744051108,-1654.900315747509,348.0137867058511,0.9641304612159729,0.9597541689872742,19.0,2.915458087265084e-06
5,2026-07-01T16:33:29.793773,18.75,15.05,-887.22416504781,148.06339894188568,-1632.7831624708779,358.6788834363688,0.9660444855690002,0.9583725333213806,21.0,3.0322152318592605e-06
6,2026-07-01T16:33:30.563949,22.5,18.81,-803.2674811291508,123.34955384751083,-1633.1349126435816,353.3575548583758,0.9626774191856384,0.953578531742096,17.0,2.7296805903232324e-06
7,2026-07-01T16:33:31.414084,26.25,22.57,-737.6356623912579,108.57407821022207,-1593.9304170377727,351.52892637241166,0.9601805806159973,0.9579480886459351,14.0,2.5474910735042996e-06
8,2026-07-01T16:33:32.255079,30.0,26.33,-733.9870663077454,105.69472648872761,-1579.4671270601975,340.1079702892457,0.9634921550750732,0.9620656967163086,15.0,2.558744286879372e-06
9,2026-07-01T16:33:33.025980,33.75,33.85,-752.9055960217374,110.34641092148377,-1572.5677452451782,354.10435964586213,0.9588584899902344,0.9506615400314331,16.0,2.6137576674205596e-06
10,2026-07-01T16:33:33.776410,37.5,33.85,-770.4509812450851,118.46363175078295,-1553.2374296546914,344.3266103012138,0.9571399688720703,0.9513341784477234,17.0,2.6818752237815633e-06
11,2026-07-01T16:33:34.686281,41.25,37.6,-777.696995435108,123.22436464222847,-1561.8052135199832,357.9710526467534,0.9595139622688293,0.9540437459945679,16.0,2.7037325522192934e-06
12,2026-07-01T16:33:35.467254,45.0,41.36,-758.7044544928358,123.12200868822401,-1551.1450377487927,361.1712509163772,0.95667964220047,0.9530590176582336,16.0,2.673736980690738e-06
13,2026-07-01T16:33:36.218419,48.75,48.88,-733.2772671343992,117.8514644104871,-1512.5247584343015,332.9591942555271,0.9511750936508179,0.9322263598442078,16.0,2.6169991019565303e-06
14,2026-07-01T16:33:36.988507,52.5,48.88,-715.242541715561,110.56253945513163,-1495.1073181534593,337.7226828841958,0.9509894847869873,0.9298909306526184,16.0,2.5708080809022422e-06
15,2026-07-01T16:33:37.747875,56.25,52.63,-701.2248938146513,108.32094406243414,-1472.4283881600422,335.3393638628768,0.9497388601303101,0.9315990209579468,16.0,2.5468086875105836e-06
16,2026-07-01T16:33:38.538745,60.0,60.15,-761.7841876781313,133.54538789659273,-1460.233069917158,352.67885614797706,0.9575369954109192,0.9352209568023682,19.0,2.785130703789677e-06
17,2026-07-01T16:33:39.339369,63.75,63.9,-783.9462201038259,148.18032093549846,-1445.2070190309314,358.7710037949728,0.9605368971824646,0.9427369236946106,21.0,2.939188139614994e-06
18,2026-07-01T16:33:40.160369,67.5,67.66,-818.0295717570698,161.43148021161323,-1426.064487248368,371.6214001434855,0.9609102010726929,0.9407168626785278,24.0,3.092468811780885e-06
19,2026-07-01T16:33:40.999384,71.25,67.66,-791.1142862981069,154.68937225668924,-1416.2751244397077,370.2218793108477,0.9596577286720276,0.9399030804634094,23.0,3.0054655788486344e-06
20,2026-07-01T16:33:41.780077,75.0,71.41,-762.9423846653663,147.6752336701611,-1398.9110273579718,366.75043776311213,0.9603025317192078,0.9364737868309021,22.0,2.9179226571702485e-06
21,2026-07-01T16:33:42.680415,78.75,75.18,-733.6646450526314,138.4163502769661,-1377.9148686160624,364.9529097400955,0.9576768279075623,0.933333158493042,21.0,2.813999627727034e-06
22,2026-07-01T16:33:43.460890,82.5,78.93,-710.6597507133847,133.16548983653774,-1360.1500086067244,360.7775741702062,0.9571057558059692,0.9339095950126648,20.0,2.738664989536031e-06
23,2026-07-01T16:33:44.240385,86.25,86.45,-719.3328431082773,137.98999836086296,-1332.5233492674306,367.5661359811784,0.9572190642356873,0.937641978263855,21.0,2.825432262563414e-06
24,2026-07-01T16:33:45.039501,90.0,90.2,-729.2668821211555,148.0590684976778,-1313.6030480080808,367.05120679718675,0.9600721597671509,0.9339585900306702,24.0,2.9404689340668536e-06
