sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW
0,2026-07-01T15:54:22.600394,0.0,0.0,-611.746106177452,38.87124824017519,-1702.012202476908,351.3116168085253,0.9102082252502441,0.9194368720054626,7.0,7.524099741947621e-06
1,2026-07-01T15:54:23.850986,3.75,3.79,-599.8826574315899,41.240394898632076,-1698.8661347598827,357.8580674206023,0.9119863510131836,0.918921709060669,7.0,7.545576270988672e-06
2,2026-07-01T15:54:24.691066,7.5,3.79,-603.5143254150171,41.378181759791914,-1688.1376560732315,354.93383655004436,0.9158000946044922,0.9201725721359253,7.0,7.547094185599858e-06
3,2026-07-01T15:54:25.511366,11.25,7.54,-599.5035467250273,41.82343015971128,-1671.0109460694366,356.0101487740758,0.9074316620826721,0.9194804430007935,7.0,7.54349543457703e-06
4,2026-07-01T15:54:26.371313,15.0,15.05,-603.6556553668925,41.10772583517246,-1646.334697104321,344.4569173041964,0.9097808003425598,0.9196199178695679,7.0,7.531320141794057e-06
5,2026-07-01T15:54:27.191349,18.75,15.05,-609.1643740760628,44.78506032115547,-1650.9111892785586,352.54854914499447,0.9166811108589172,0.9181166291236877,7.0,7.522130542355513e-06
6,2026-07-01T15:54:28.001164,22.5,18.81,-597.3036810674239,40.73373292631004,-1622.5908715125115,357.7159501152346,0.9164463877677917,0.9143785834312439,7.0,7.537600640177207e-06
7,2026-07-01T15:54:28.869836,26.25,26.33,-590.1604165081517,44.685066427628044,-1601.6996276234568,360.57483064592816,0.9147464632987976,0.9178261756896973,7.0,7.546782623637852e-06
8,2026-07-01T15:54:29.710666,30.0,26.33,-590.5725960613927,41.358497922483366,-1595.3130097703252,366.2559797699214,0.9168172478675842,0.918472409248352,7.0,7.545264771689784e-06
9,2026-07-01T15:54:30.531723,33.75,33.85,-582.0888621814083,43.71111015760107,-1560.7930706055777,350.94352905085543,0.9106725454330444,0.9201725125312805,7.0,7.5505819055952694e-06
10,2026-07-01T15:54:31.382022,37.5,33.85,-591.503641566087,43.73591179260984,-1542.3558107137796,361.93340909696417,0.9106965661048889,0.9209181070327759,7.0,7.527920665940593e-06
11,2026-07-01T15:54:32.312089,41.25,37.6,-580.6291088066064,39.612935229961295,-1534.5741993105912,354.884626956773,0.9143285155296326,0.9202871322631836,7.0,7.5467627371408e-06
12,2026-07-01T15:54:33.142691,45.0,45.12,-586.3559244331555,47.72936870576814,-1527.8964575036662,363.9695052281604,0.9162359833717346,0.9181891083717346,7.0,7.53724312675546e-06
13,2026-07-01T15:54:33.963482,48.75,45.12,-578.8473278534366,46.511332853115164,-1502.182476635644,371.85563780745724,0.9139781594276428,0.91440749168396,7.0,7.541686766072361e-06
14,2026-07-01T15:54:34.783682,52.5,48.88,-588.8065621780697,42.29584225511644,-1491.2654267875769,357.38447429495864,0.9106365442276001,0.9115563631057739,7.0,7.508492471219647e-06
15,2026-07-01T15:54:35.623820,56.25,52.64,-591.6583565273322,46.07946946256561,-1463.1769846250245,372.3174206307158,0.9078530073165894,0.9199903607368469,7.0,7.49698606306476e-06
16,2026-07-01T15:54:36.554819,60.0,60.15,-577.4111950834049,43.249327334342524,-1427.6521855656756,343.3243093054625,0.9225499033927917,0.8911364078521729,8.0,7.53278887256599e-06
17,2026-07-01T15:54:37.395132,63.75,60.15,-575.6534284117515,43.91936515632551,-1428.5838215854892,351.40294981363695,0.9219623804092407,0.9019612669944763,8.0,7.5241856583617485e-06
18,2026-07-01T15:54:38.215519,67.5,67.66,-565.2371353848139,43.74850944848731,-1442.6168228794995,381.3641122577246,0.9061448574066162,0.9188677668571472,8.0,7.5422034842471014e-06
19,2026-07-01T15:54:39.054416,71.25,71.42,-559.9024217974511,44.17092459712876,-1388.1912095597363,359.94573520554695,0.9196317791938782,0.9137228727340698,8.0,7.55804679377436e-06
20,2026-07-01T15:54:39.863124,75.0,71.42,-551.2435017654207,44.93662586843129,-1379.343915204663,360.8401687728474,0.9169387221336365,0.9189134836196899,8.0,7.556214724954546e-06
21,2026-07-01T15:54:40.895155,78.75,75.17,-547.1106832841178,45.718074209580664,-1358.3306315242953,349.3747272173641,0.9199055433273315,0.906829297542572,8.0,7.564263204941892e-06
22,2026-07-01T15:54:41.725265,82.5,82.69,-553.0496906768531,45.36337146128062,-1351.6196240323188,376.80376083008014,0.9219257235527039,0.9045317769050598,8.0,7.5488378441726745e-06
23,2026-07-01T15:54:42.534935,86.25,86.45,-546.1190115605132,46.784544514957815,-1333.6754442651,361.11849823239027,0.920386016368866,0.9115653038024902,8.0,7.562522626025677e-06
24,2026-07-01T15:54:43.374976,90.0,86.45,-549.5750997151481,43.47962823085254,-1307.5274347844243,370.49430361919804,0.9224249720573425,0.90156489610672,8.0,7.5432767812730375e-06
25,2026-07-01T15:54:44.194986,93.75,90.2,-566.057164047088,44.657115378649905,-1290.8569961294415,376.5029917960055,0.9201871752738953,0.9096022844314575,8.0,7.508426519426339e-06
26,2026-07-01T15:54:45.015590,97.5,93.96,-556.9498462011688,44.136674720211886,-1276.1777744565916,380.66809177049436,0.9197133779525757,0.9055715203285217,8.0,7.528502568486415e-06
27,2026-07-01T15:54:45.836123,101.25,101.47,-555.9774646381265,44.72010365803726,-1273.2533467476605,368.4212018738617,0.92131108045578,0.9058533906936646,8.0,7.521773762690815e-06
28,2026-07-01T15:54:46.656174,105.0,101.47,-547.2165823288378,42.19860409881221,-1247.828521449701,371.94657713582274,0.923785388469696,0.908717691898346,8.0,7.5320544713802026e-06
29,2026-07-01T15:54:47.486706,108.75,105.22,-547.1142263748334,46.02278001111699,-1221.0067342179536,375.87743944633985,0.9190930128097534,0.899584949016571,8.0,7.527583447551838e-06
30,2026-07-01T15:54:48.287237,112.5,108.97,-537.4404076911742,47.81519023643341,-1221.6435063548852,376.99626875895774,0.9146062731742859,0.910609781742096,7.0,7.553759387370828e-06
31,2026-07-01T15:54:49.226982,116.25,116.49,-537.4896172844456,44.67916127643548,-1208.6498116707662,380.74131564528216,0.9094942808151245,0.9066767692565918,7.0,7.549938611710689e-06
