sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,peak_x_um,peak_y_um,peak_intensity_counts,total_power_mW
0,2026-06-25T16:40:44.101348,0.0,0.0,-642.6194176424178,98.88687451719306,-348.2999897003174,-1425.4499578475952,255.0,0.0008340604149120914
1,2026-06-25T16:40:46.154892,3.75,3.77,-642.4879296091967,101.34735418076161,-348.2999897003174,-1425.4499578475952,255.0,0.0008339410079109067
2,2026-06-25T16:40:47.879439,7.5,3.77,-642.7426384639693,104.57117305515567,-354.7499895095825,-1425.4499578475952,255.0,0.0008339179342958657
3,2026-06-25T16:40:49.386505,11.25,11.28,-642.502495648805,107.75208116421709,-754.649977684021,-1393.1999588012695,255.0,0.000833904383422697
4,2026-06-25T16:40:50.940284,15.0,15.04,-642.1068505189032,111.20344519789796,-670.7999801635742,-1393.1999588012695,255.0,0.0008339479667455082
5,2026-06-25T16:40:52.583346,18.75,15.04,-641.6608147654915,115.32209131633863,-754.649977684021,-1386.7499589920044,255.0,0.0008339966802136489
6,2026-06-25T16:40:54.365011,22.5,22.56,-641.4588585947058,119.61041211237898,-690.1499795913696,-1386.7499589920044,255.0,0.0008338937626219805
7,2026-06-25T16:40:56.030088,26.25,22.56,-641.3545342569705,124.21367430535611,-690.1499795913696,-1380.2999591827393,255.0,0.0008339926511722574
8,2026-06-25T16:40:57.645022,30.0,26.32,-640.7065423327731,128.82599106349517,-690.1499795913696,-1380.2999591827393,255.0,0.0008341296494996824
9,2026-06-25T16:40:59.193780,33.75,30.07,-640.9766045806464,133.387129844632,-709.499979019165,-1373.8499593734741,255.0,0.0008338629996867066
10,2026-06-25T16:41:00.713628,37.5,37.59,-640.4813592339633,139.0458393940935,-677.2499799728394,-1360.9499597549438,255.0,0.000833767788269977
11,2026-06-25T16:41:02.401522,41.25,41.35,-639.7995111095952,143.56013064243598,-703.0499792098999,-1354.4999599456787,255.0,0.0008339977790464977
12,2026-06-25T16:41:04.017272,45.0,41.35,-639.741640627908,148.8755540692364,-703.0499792098999,-1354.4999599456787,255.0,0.0008340237851798415
13,2026-06-25T16:41:05.570019,48.75,45.11,-639.52039429656,153.85792696877616,-696.5999794006348,-1348.0499601364136,255.0,0.0008339545593792201
14,2026-06-25T16:41:07.213845,52.5,52.62,-639.1345910853124,159.45128617837327,-632.0999813079834,-1341.5999603271484,255.0,0.0008337315375499655
15,2026-06-25T16:41:08.797833,56.25,52.62,-638.8031152650365,164.7285229607951,-632.0999813079834,-1335.1499605178833,255.0,0.0008337787736478283
16,2026-06-25T16:41:10.361565,60.0,60.14,-638.4940790192923,169.9679667755845,-709.499979019165,-1328.6999607086182,255.0,0.0008337787736478283
17,2026-06-25T16:41:11.852097,63.75,60.14,-637.9189172931365,175.30622345366282,-683.6999797821045,-1322.249960899353,255.0,0.000833757901553661
18,2026-06-25T16:41:13.447596,67.5,63.89,-637.9071069907513,180.11380387790268,-651.4499807357788,-1315.799961090088,255.0,0.000833838829605138
19,2026-06-25T16:41:14.938103,71.25,67.65,-637.0469233003678,185.75086120632477,-651.4499807357788,-1315.799961090088,255.0,0.000833760830938866
20,2026-06-25T16:41:16.507193,75.0,71.41,-637.1945520801819,191.06510360288667,-696.5999794006348,-1302.8999614715576,255.0,0.0008336634343988707
21,2026-06-25T16:41:18.092224,78.75,78.92,-636.7347376406542,195.91480743896682,-664.3499803543091,-1296.4499616622925,255.0,0.0008337275097894784
22,2026-06-25T16:41:19.646824,82.5,82.67,-636.4489283229341,200.82828690792667,-632.0999813079834,-1296.4499616622925,255.0,0.0008336619698760817
23,2026-06-25T16:41:21.343257,86.25,82.67,-636.0501337790629,205.75475770951016,-709.499979019165,-1289.9999618530273,255.0,0.0008335946046088641
24,2026-06-25T16:41:22.960094,90.0,86.43,-635.1383784349309,210.66075732029276,-683.6999797821045,-1283.5499620437622,255.0,0.0008337048082306477
25,2026-06-25T16:41:24.544971,93.75,90.18,-635.677321900439,215.24433567596134,-599.8499822616577,-1283.5499620437622,255.0,0.0008337216512635061
26,2026-06-25T16:41:26.194612,97.5,93.94,-635.3112025265,219.61690329568228,-612.749981880188,-1277.099962234497,255.0,0.0008336696586494289
27,2026-06-25T16:41:27.788413,101.25,101.45,-635.1757777258172,224.13906807894818,-606.2999820709229,-1277.099962234497,255.0,0.0008336121776320121
28,2026-06-25T16:41:29.326425,105.0,105.21,-634.9068965081824,228.56675044313306,-664.3499803543091,-1264.1999626159668,255.0,0.0008336535489199702
29,2026-06-25T16:41:30.755756,108.75,105.21,-634.383306435775,232.8349937251187,-625.6499814987183,-1264.1999626159668,255.0,0.0008337586338989971
30,2026-06-25T16:41:32.498137,112.5,108.96,-634.3707087798975,237.16032013529912,-690.1499795913696,-1257.7499628067017,255.0,0.000833911341951685
31,2026-06-25T16:41:33.955676,116.25,116.48,-633.6683894647285,241.29471332358662,-574.0499830245972,-1257.7499628067017,255.0,0.0008337549721787482
32,2026-06-25T16:41:35.612777,120.0,116.48,-633.6172114877263,245.0767658240511,-619.1999816894531,-1251.2999629974365,255.0,0.0008337428886160263
33,2026-06-25T16:41:37.494462,123.75,120.23,-633.029452105693,249.12376277468866,-599.8499822616577,-1244.8499631881714,255.0,0.0008337377623089908
34,2026-06-25T16:41:39.094600,127.5,123.99,-632.9046565771569,252.96526046382496,-761.0999774932861,-1238.3999633789062,255.0,0.0008336110793072129
35,2026-06-25T16:41:40.553360,131.25,127.74,-632.5995570988744,256.65794834290864,-761.0999774932861,-1238.3999633789062,255.0,0.0008336374395018146
36,2026-06-25T16:41:41.981936,135.0,131.49,-632.2854030554299,260.2069442096399,-580.4999828338623,-1238.3999633789062,255.0,0.0008336268221009573
37,2026-06-25T16:41:43.648247,138.75,139.0,-631.8952693999745,263.90317517943913,-586.9499826431274,-1231.949963569641,255.0,0.0008337802383758114
38,2026-06-25T16:41:45.249239,142.5,139.0,-631.7326809038059,267.2395856032381,-728.8499784469604,-1225.499963760376,255.0,0.0008335664153246718
39,2026-06-25T16:41:46.895360,146.25,142.75,-631.5511959238211,270.78464470250765,-748.1999778747559,-1219.0499639511108,255.0,0.0008336886978219636
40,2026-06-25T16:41:48.653901,150.0,146.51,-631.1716915405123,274.1533366194926,-728.8499784469604,-1219.0499639511108,255.0,0.0008336993160108938
41,2026-06-25T16:41:50.303494,146.25,150.27,-631.1358669566107,273.8431193435099,-728.8499784469604,-1219.0499639511108,255.0,0.0008336253576424861
42,2026-06-25T16:41:51.838739,142.5,146.51,-631.1937374382978,271.69994313735515,-728.8499784469604,-1219.0499639511108,255.0,0.0008337743794793194
43,2026-06-25T16:41:53.393141,138.75,142.76,-631.5244259050814,269.55479854746955,-735.2999782562256,-1225.499963760376,255.0,0.0008336484231622448
44,2026-06-25T16:41:55.161401,135.0,139.0,-631.592531982169,267.5214581534965,-754.649977684021,-1225.499963760376,255.0,0.0008336257237568632
45,2026-06-25T16:41:56.666644,131.25,135.25,-631.9488094374537,265.34324471693253,-586.9499826431274,-1231.949963569641,255.0,0.0008335224858730913
46,2026-06-25T16:41:58.255432,127.5,127.74,-631.9200710349833,263.11503433360485,-722.3999786376953,-1231.949963569641,255.0,0.0008336799104575331
47,2026-06-25T16:41:59.784319,123.75,127.74,-632.1031307219528,260.4427565805963,-580.4999828338623,-1238.3999633789062,255.0,0.0008336952884060699
48,2026-06-25T16:42:01.805726,120.0,120.22,-632.2428859668435,258.1826583808288,-586.9499826431274,-1238.3999633789062,255.0,0.0008338688592059289
49,2026-06-25T16:42:03.594485,116.25,120.22,-632.2909145298763,255.59777686547022,-625.6499814987183,-1238.3999633789062,255.0,0.0008338197870040036
50,2026-06-25T16:42:05.051895,112.5,116.47,-632.6145168152289,252.02279833349166,-761.0999774932861,-1238.3999633789062,255.0,0.0008338102658665169
51,2026-06-25T16:42:06.645715,108.75,112.71,-633.0491359430016,249.72215142886853,-599.8499822616577,-1244.8499631881714,255.0,0.0008339490655141737
52,2026-06-25T16:42:08.202625,105.0,108.95,-633.4298213565489,247.16482728574192,-651.4499807357788,-1244.8499631881714,255.0,0.0008337311713891169
53,2026-06-25T16:42:09.901285,101.25,105.19,-633.5239100988838,244.19059946842026,-638.5499811172485,-1251.2999629974365,255.0,0.0008337769427414685
54,2026-06-25T16:42:11.441193,97.5,101.44,-633.768383358256,240.77348531165626,-574.0499830245972,-1257.7499628067017,255.0,0.000833835533739205
55,2026-06-25T16:42:13.105585,93.75,97.69,-633.9321528846631,238.01538602798246,-677.2499799728394,-1257.7499628067017,255.0,0.0008338604361599945
