sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-14T17:25:55.815133,95.0,95.1,-855.6434164699749,42.14506406133296,-1073.5293231127434,408.4990693410509,0.9321562647819519,0.9644879102706909,29.0,6.731207158601939e-06,20,4
1,2026-07-14T17:25:56.238643,95.5,95.6,-855.2804465100053,38.73739814647706,-1077.159416389186,414.2624969049939,0.932298481464386,0.96540367603302,29.0,6.750005441317048e-06,20,4
2,2026-07-14T17:25:56.686477,96.0,96.1,-864.7408923972398,51.22521821176633,-1077.6330095148296,416.1245879143826,0.9314923882484436,0.9664978981018066,30.0,6.730781474445062e-06,20,4
3,2026-07-14T17:25:57.110242,96.5,96.6,-864.239348222618,40.22510257025715,-1074.762318681751,419.5928800481488,0.9304646849632263,0.9673331379890442,30.0,6.719363094942433e-06,20,4
4,2026-07-14T17:25:57.516935,97.0,97.09,-854.0297354874201,45.0870103854686,-1078.2754899645806,421.0573575439048,0.9311524629592896,0.9681446552276611,30.0,6.757871847232109e-06,20,4
5,2026-07-14T17:25:57.924712,97.5,97.59,-826.4463805902051,41.6970599241904,-1077.0869798678905,423.17337005457375,0.9291443228721619,0.9666270017623901,31.0,6.803697244752345e-06,20,4
6,2026-07-14T17:25:58.347774,98.0,98.1,-848.6714012952871,44.144548255135305,-1076.6877916472731,422.53207063506125,0.9308152794837952,0.9689973592758179,29.0,6.748843461519073e-06,20,4
7,2026-07-14T17:25:58.795004,98.5,98.59,-850.094149055949,41.927754497446585,-1078.1569932639832,425.833443828451,0.9190449118614197,0.9694080948829651,31.0,6.7677979993249785e-06,20,4
8,2026-07-14T17:25:59.218098,99.0,99.09,-831.500402657548,44.628770652925596,-1081.7591354914475,428.72224379185354,0.9297732710838318,0.9708122611045837,30.0,6.797729699724543e-06,20,4
9,2026-07-14T17:25:59.626402,99.5,99.59,-835.882418519177,44.945286756847054,-1075.8795732873841,427.2002894911566,0.9295207262039185,0.9689739346504211,30.0,6.763329130877214e-06,20,4
10,2026-07-14T17:26:00.034121,100.0,100.09,-849.5571739741717,42.16671628237236,-1081.39183508727,431.54254400142236,0.9293749332427979,0.9703155159950256,30.0,6.767887169018616e-06,20,4
11,2026-07-14T17:26:00.441041,100.5,100.59,-837.7366359936423,50.09024815255543,-1075.752809375117,430.96068977058167,0.9273602962493896,0.9721139073371887,30.0,6.76927242246557e-06,20,4
12,2026-07-14T17:26:00.888171,101.0,101.08,-838.9873470162274,46.27670151239727,-1075.1713488210225,434.67660457768943,0.9179105162620544,0.9716867208480835,31.0,6.784046250039236e-06,20,4
13,2026-07-14T17:26:01.311922,101.5,101.59,-839.5247157747508,50.79414217470912,-1079.9466477520764,436.770964867319,0.9161491990089417,0.9731351733207703,31.0,6.791176814090022e-06,20,4
14,2026-07-14T17:26:01.734672,102.0,102.09,-848.9560295827687,49.27612464147387,-1078.5967301894561,435.8784996837494,0.9275181889533997,0.9721128344535828,30.0,6.754299387086815e-06,20,4
15,2026-07-14T17:26:02.143686,102.5,102.59,-867.8501513384981,46.821550129097886,-1081.0698075089022,438.2090660210815,0.9279277920722961,0.9722608923912048,30.0,6.7248365358517505e-06,20,4
16,2026-07-14T17:26:02.550162,103.0,103.09,-877.9790603407309,45.62713488121517,-1082.6563247959712,440.5597098724684,0.9273698329925537,0.9726486802101135,29.0,6.725976658624367e-06,20,4
17,2026-07-14T17:26:02.997090,103.5,103.59,-854.4179007591447,48.7848160622525,-1077.8337846553768,439.98218608583556,0.9186822175979614,0.9735828638076782,29.0,6.749803859051542e-06,20,4
18,2026-07-14T17:26:03.421535,104.0,104.09,-862.3552113154437,47.4667863160721,-1079.736030692875,445.4653158065048,0.9180288910865784,0.9735202789306641,31.0,6.755082555534367e-06,20,4
19,2026-07-14T17:26:03.828577,104.5,104.59,-854.0309165176586,43.04028498212574,-1086.3139754446456,447.3270131391473,0.9279606342315674,0.9750587940216064,29.0,6.765093743526309e-06,20,4
20,2026-07-14T17:26:04.237203,105.0,105.08,-856.4937582417042,39.25429571419954,-1083.4184829765582,445.194072528393,0.927849531173706,0.9751160740852356,29.0,6.750207029602776e-06,20,4
21,2026-07-14T17:26:04.683679,104.5,104.59,-875.3733139578253,42.66078059881693,-1084.7067901284026,447.6864400084014,0.9274975657463074,0.9743445515632629,30.0,6.7393653903759795e-06,20,4
22,2026-07-14T17:26:05.123466,104.0,104.09,-864.3645374279004,47.98919535824098,-1083.2228256337112,447.24119160848204,0.9264872670173645,0.974532961845398,30.0,6.752685871745858e-06,20,4
23,2026-07-14T17:26:05.583970,103.5,103.59,-855.3934317361563,50.90319063339848,-1083.579496765742,447.2116658525192,0.9256716370582581,0.9742130041122437,30.0,6.754299387086815e-06,20,4
24,2026-07-14T17:26:06.040400,103.0,103.08,-851.4338310231688,47.05893720703898,-1082.3386276618112,446.87231649731984,0.9264000058174133,0.9744871854782104,30.0,6.762681627560694e-06,20,4
25,2026-07-14T17:26:06.518117,102.5,102.59,-855.8512777919532,49.224552987725474,-1085.5809493432753,446.75854391767643,0.9270470142364502,0.9748940467834473,30.0,6.7667934352908975e-06,20,4
26,2026-07-14T17:26:06.996405,102.0,102.1,-867.3989977873862,51.73975371901179,-1084.3257110381091,444.61300565104466,0.9267230033874512,0.9741353392601013,29.0,6.743143174553257e-06,20,4
27,2026-07-14T17:26:07.450927,101.5,101.59,-860.3076985586085,39.300355893501546,-1079.7470536417677,444.74213162378874,0.9192154407501221,0.9750778079032898,30.0,6.756239675088957e-06,20,4
28,2026-07-14T17:26:07.928184,101.0,101.09,-861.2233906702022,54.078193591267336,-1083.5798904424882,442.8902762098005,0.9280598163604736,0.972145676612854,31.0,6.745400196569321e-06,20,4
29,2026-07-14T17:26:08.351075,100.5,100.59,-843.2540155912284,46.410551606095396,-1081.0217789458693,441.8871878605569,0.9181665182113647,0.9742366671562195,30.0,6.778328137385483e-06,20,4
30,2026-07-14T17:26:08.830351,100.0,100.09,-852.5963584546116,46.727067710016854,-1084.958546407579,442.5198263916536,0.9301056861877441,0.9730734825134277,29.0,6.7482388368836086e-06,20,4
31,2026-07-14T17:26:09.291590,99.5,99.59,-874.0966202699929,46.239695898257196,-1084.9089431375614,442.4903006356908,0.9271945357322693,0.9736583232879639,29.0,6.7089658095106326e-06,20,4
32,2026-07-14T17:26:09.747314,99.0,99.09,-878.3542342798319,45.672801383771,-1084.5587676718424,440.9230735091842,0.9271478652954102,0.9729458093643188,29.0,6.697813877365007e-06,20,4
33,2026-07-14T17:26:10.208895,98.5,98.59,-869.5925646170508,48.598606961313635,-1084.1371398766933,440.2668143733172,0.9266300797462463,0.9738191962242126,30.0,6.737311590792155e-06,20,4
34,2026-07-14T17:26:10.687292,98.0,98.1,-871.3070268466254,48.952522356121335,-1080.1777360020787,438.92870711308206,0.9198527932167053,0.9728211760520935,30.0,6.735453648764771e-06,20,4
35,2026-07-14T17:26:11.126366,97.5,97.59,-878.7675948633114,49.985136461327784,-1082.8409591899253,440.4223166880547,0.9292791485786438,0.9733228087425232,30.0,6.72408049884373e-06,20,4
36,2026-07-14T17:26:11.587555,97.0,97.09,-865.464470256702,38.999193182680756,-1082.678764370503,439.15940168633824,0.9278205037117004,0.973590075969696,29.0,6.714513349769975e-06,20,4
37,2026-07-14T17:26:12.010593,96.5,96.59,-880.0068892602576,40.300688505521975,-1084.2087890444964,438.17757188138785,0.9274181723594666,0.972753643989563,29.0,6.69030532535605e-06,20,4
38,2026-07-14T17:26:12.450496,96.0,96.1,-891.6951518540736,49.4316269562114,-1084.7506850856007,436.787105613912,0.9283454418182373,0.9718332886695862,30.0,6.6959609460742004e-06,20,4
39,2026-07-14T17:26:12.912813,95.5,95.59,-877.6298690668773,43.71229118783958,-1081.6386704071192,433.5487206999096,0.9294676184654236,0.9709900617599487,30.0,6.713168785183345e-06,20,4
40,2026-07-14T17:26:13.351672,95.0,95.1,-889.1933361321571,40.93372071336489,-1084.6058120430098,433.35148865007795,0.927590548992157,0.9707976579666138,29.0,6.665025319681015e-06,20,4
41,2026-07-14T17:26:13.815252,95.5,95.59,-870.5062883449136,50.990586871048436,-1084.2896896158345,434.2809594477876,0.9273535013198853,0.9706432223320007,30.0,6.697790344864865e-06,20,4
42,2026-07-14T17:26:14.292549,96.0,96.1,-860.1045613575843,39.250752623484004,-1083.1405471937614,434.1656121611595,0.9273761510848999,0.9718827605247498,29.0,6.741200726416876e-06,20,4
43,2026-07-14T17:26:14.732260,96.5,96.59,-851.2984062224859,41.361647336452734,-1084.3361434718827,434.5644067050307,0.927615225315094,0.9710711240768433,31.0,6.747480168881429e-06,20,4
44,2026-07-14T17:26:15.194208,97.0,97.09,-880.0151564719272,41.93326597189298,-1084.4509002433915,437.4772209499497,0.927147626876831,0.9723333716392517,29.0,6.679864991680549e-06,20,4
45,2026-07-14T17:26:15.649330,97.5,97.59,-864.7326251855702,45.8342088497011,-1079.8470475352951,437.0189812174067,0.918018639087677,0.9719617962837219,29.0,6.70541331308644e-06,20,4
