sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-14T17:22:21.981094,35.0,35.07,-487.23874901945237,11.077669960504863,-1073.1978472924675,144.20969727361808,0.9793936610221863,0.9691367149353027,23.0,7.495530896886058e-06,20,4
1,2026-07-14T17:22:22.444263,35.5,35.57,-487.10214318853104,15.20930741156917,-1076.4881975369644,148.89878099726047,0.9793294072151184,0.9680337309837341,24.0,7.496716078766714e-06,20,4
2,2026-07-14T17:22:22.969070,36.0,36.07,-484.8558236748795,13.226751317852177,-1077.9349595791427,151.54783182224492,0.9792033433914185,0.9699525237083435,24.0,7.546471074537862e-06,20,4
3,2026-07-14T17:22:23.516607,36.5,36.57,-490.46059951011557,19.966890889045317,-1077.5408891562256,152.36195533332648,0.9803049564361572,0.9707289934158325,23.0,7.53744174322958e-06,20,4
4,2026-07-14T17:22:24.010665,37.0,37.07,-477.8940440955921,18.757909601554275,-1078.875059648999,154.52245331631275,0.980177104473114,0.9701138734817505,23.0,7.535025598289003e-06,20,4
5,2026-07-14T17:22:24.480619,37.5,37.58,-487.2726052196231,17.737893152225297,-1086.2513808420044,156.9978926962358,0.9779749512672424,0.9697861075401306,23.0,7.513882690245187e-06,20,4
6,2026-07-14T17:22:24.975024,38.0,38.07,-489.64057084784145,15.5994410670246,-1076.9117937158444,157.8372115190723,0.9794295430183411,0.9697885513305664,23.0,7.493588920629028e-06,20,4
7,2026-07-14T17:22:25.452475,38.5,38.57,-497.6404760067817,15.05419877357781,-1076.975569348724,158.62180927419104,0.9800528883934021,0.9695833921432495,23.0,7.477447232267525e-06,20,4
8,2026-07-14T17:22:26.031022,39.0,39.07,-486.26400539593305,16.447027101530693,-1084.7615111961204,159.5851362720714,0.9771987795829773,0.9691208600997925,22.0,7.4786755377721245e-06,20,4
9,2026-07-14T17:22:26.510680,39.5,39.58,-486.03331082267687,19.47125186561607,-1082.5421585395816,162.78218512772582,0.9758801460266113,0.9708575010299683,22.0,7.491147352873826e-06,20,4
10,2026-07-14T17:22:26.981211,40.0,40.07,-506.18208036845317,20.860143426107243,-1081.0607529437402,163.37309392372845,0.9767754673957825,0.9710202813148499,22.0,7.437124114881652e-06,20,4
11,2026-07-14T17:22:27.473872,40.5,40.57,-489.98621903097956,18.75200445036171,-1077.4432573231752,166.62486384710064,0.9779722690582275,0.9678469896316528,22.0,7.4660015152268836e-06,20,4
12,2026-07-14T17:22:27.951266,41.0,41.08,-494.6804205523222,16.886370350257494,-1076.5342577162664,171.03207502048463,0.9784674644470215,0.9683775305747986,23.0,7.452484847376918e-06,20,4
13,2026-07-14T17:22:28.415157,41.5,41.58,-494.9174139535171,14.836101856199093,-1079.0675675778766,168.76685902301688,0.9752301573753357,0.9670248627662659,23.0,7.447786291757141e-06,20,4
14,2026-07-14T17:22:28.907361,42.0,42.08,-505.6947085566935,19.247249797044788,-1083.1866073730635,171.60487468616338,0.9762058258056641,0.9715093374252319,22.0,7.446713499720515e-06,20,4
15,2026-07-14T17:22:29.346561,42.5,42.58,-491.7416236421559,21.075878283008933,-1078.6349168338347,174.07362156140152,0.9729897379875183,0.9662243723869324,23.0,7.468349607459921e-06,20,4
