sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-15T11:29:38.183626,75.0,75.14,-451.24685250077164,113.23442353139399,-693.2757729559671,1205.066172250372,0.9748918414115906,0.9696580767631531,18.0,7.278026391695108e-06,20,4
1,2026-07-15T11:29:38.678313,75.5,75.64,-459.34478316950845,115.42799036105862,-691.3172311437665,1204.9866495476454,0.9752503037452698,0.9701024293899536,18.0,7.264301276960947e-06,20,4
2,2026-07-15T11:29:39.131441,76.0,76.14,-461.84541786118643,115.25004847178934,-696.2393715011422,1208.4108498858404,0.9732915759086609,0.9667985439300537,17.0,7.257011775067709e-06,20,4
3,2026-07-15T11:29:39.610958,76.5,76.64,-456.2768602865981,114.51938443089603,-693.4257637962583,1210.792987876921,0.9747092723846436,0.968226969242096,17.0,7.270825299545864e-06,20,4
4,2026-07-15T11:29:40.071607,77.0,77.14,-453.09201541007496,116.69287374650594,-685.9703135772725,1203.6237406524015,0.9742034673690796,0.9724288582801819,18.0,7.293026491870481e-06,20,4
5,2026-07-15T11:29:40.511695,77.5,77.64,-453.1227221962763,117.538097720535,-681.2658764605294,1206.2460214586463,0.9737877249717712,0.9699217677116394,18.0,7.293494141227665e-06,20,4
6,2026-07-15T11:29:40.973714,78.0,78.14,-458.0137620907044,113.83596159954323,-692.6006173362839,1209.8686348769115,0.9756542444229126,0.9667575359344482,18.0,7.28260505795104e-06,20,4
7,2026-07-15T11:29:41.412680,78.5,78.64,-444.7763815007056,114.68590969452634,-683.9220134669449,1208.6328835706809,0.9740210175514221,0.9683537483215332,18.0,7.282764979615855e-06,20,4
8,2026-07-15T11:29:41.875576,79.0,79.14,-456.9642198854126,113.63951690320391,-680.6383557271329,1206.5727731579682,0.9741156101226807,0.9726404547691345,18.0,7.264211947445171e-06,20,4
9,2026-07-15T11:29:42.315235,79.5,79.63,-443.8854910241207,115.47483789385296,-678.4739209766849,1208.6281594497268,0.9734868407249451,0.9707534909248352,18.0,7.284978656125762e-06,20,4
10,2026-07-15T11:29:42.761214,80.0,80.14,-456.6051866929047,116.61217001354089,-675.2697859395994,1204.2079569437192,0.975503146648407,0.9691004157066345,18.0,7.2840380813072015e-06,20,4
11,2026-07-15T11:29:43.200538,80.5,80.64,-458.28854845953174,119.46317700931104,-672.9218978254357,1207.244779363682,0.9744872450828552,0.9704209566116333,18.0,7.281466517206629e-06,20,4
12,2026-07-15T11:29:43.664055,81.0,81.14,-454.1683276341064,114.43513760721544,-676.2327192607336,1209.0163247214514,0.972303032875061,0.9719905853271484,18.0,7.262578687121778e-06,20,4
13,2026-07-15T11:29:44.101780,81.5,81.64,-459.14007126149954,115.07801173371263,-671.5196212555747,1206.6349740838632,0.9730668067932129,0.9700670838356018,18.0,7.256967154992358e-06,20,4
14,2026-07-15T11:29:44.564118,82.0,82.14,-450.40202220348874,112.90452241810272,-669.6807571742102,1207.6908151170937,0.9745242595672607,0.9696992635726929,18.0,7.272952298254497e-06,20,4
15,2026-07-15T11:29:44.987892,82.5,82.64,-446.8782216485124,119.19154005445307,-671.4967880042968,1212.3062812892022,0.9721128344535828,0.9646140336990356,19.0,7.30004438173756e-06,20,4
16,2026-07-15T11:29:45.427673,83.0,83.14,-454.9820574684418,117.9368922644062,-674.9619307240937,1205.3834757077857,0.9761990904808044,0.9683492183685303,18.0,7.284978656125762e-06,20,4
17,2026-07-15T11:29:45.888713,83.5,83.64,-452.15821416815743,120.14108836621745,-673.5250106005697,1205.2555307652801,0.975483775138855,0.9685087203979492,18.0,7.288665344265304e-06,20,4
18,2026-07-15T11:29:46.329924,84.0,84.14,-445.6294790096581,112.56005526520312,-668.8166367163649,1210.2386910183122,0.9719721078872681,0.9666650295257568,18.0,7.280929290136573e-06,20,4
19,2026-07-15T11:29:46.791853,84.5,84.64,-449.81859326566337,116.10590171796503,-663.2138292648597,1205.0449137060787,0.9735705256462097,0.9701325297355652,18.0,7.275546417765339e-06,20,4
20,2026-07-15T11:29:47.269362,85.0,85.14,-453.02430300973356,117.2290614747908,-668.1068375430186,1207.3628823875333,0.9743313193321228,0.9721214175224304,18.0,7.2902724534155995e-06,20,4
21,2026-07-15T11:29:47.707705,84.5,84.64,-462.8099258893053,119.60253857745556,-665.6727342214435,1200.5428264368675,0.974187433719635,0.9710419178009033,18.0,7.271585326746435e-06,20,4
22,2026-07-15T11:29:48.171083,84.0,84.14,-452.0432605582755,115.0756496732356,-667.5552964216331,1212.3346260149265,0.9751911759376526,0.9656581282615662,18.0,7.2898946548677825e-06,20,4
23,2026-07-15T11:29:48.609673,83.5,83.64,-451.19646187726175,115.64372521796031,-663.9531541941687,1204.6114756085444,0.9731893539428711,0.9709005951881409,18.0,7.271566165420708e-06,20,4
24,2026-07-15T11:29:49.071713,83.0,83.14,-449.1304463133565,115.00675624265568,-669.1961410996737,1206.5326181298587,0.9746018052101135,0.9694429636001587,18.0,7.2715406170649226e-06,20,4
25,2026-07-15T11:29:49.528306,82.5,82.64,-453.5443499914254,113.24741486401763,-669.298103376932,1208.5600533726392,0.9750703573226929,0.9684485197067261,17.0,7.262470241431753e-06,20,4
26,2026-07-15T11:29:49.989632,82.0,82.14,-456.26386895397445,115.5882167967502,-662.2619188926183,1206.8432290825876,0.9743839502334595,0.9691233038902283,18.0,7.261641004397729e-06,20,4
27,2026-07-15T11:29:50.429098,81.5,81.64,-460.6880082274438,118.14042314217659,-666.3132462874637,1205.4496134011424,0.9748911261558533,0.9715671539306641,18.0,7.27223684186524e-06,20,4
28,2026-07-15T11:29:50.890716,81.0,81.14,-444.78110562165966,116.29407920263475,-671.2928634497803,1208.9135750907008,0.9745590090751648,0.9685841798782349,18.0,7.3040402222628795e-06,20,4
29,2026-07-15T11:29:51.331297,80.5,80.64,-450.4850879969308,113.29623078054283,-666.9411606976064,1208.2352700570482,0.9734610319137573,0.9712536334991455,18.0,7.2665604026721335e-06,20,4
30,2026-07-15T11:29:51.792579,80.0,80.14,-450.8338855940383,114.17137418728089,-667.5852158543421,1205.8295114611974,0.9744405150413513,0.9717711806297302,18.0,7.26910754759756e-06,20,4
