sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-15T11:18:58.642058,35.0,35.08,-473.1994488975033,129.42319868743652,-896.6901224094909,1314.031565146288,0.9721753597259521,0.972862720489502,18.0,7.278627337317171e-06,20,4
1,2026-07-15T11:18:59.097113,35.5,35.58,-477.30077323911246,127.67802967166062,-896.4401376756723,1318.5706580296392,0.9753707647323608,0.9681613445281982,18.0,7.2754313879415714e-06,20,4
2,2026-07-15T11:18:59.590692,36.0,36.08,-476.64726984046865,128.765758521331,-897.434171459754,1322.92472284229,0.9733333587646484,0.9701219201087952,18.0,7.275009627480604e-06,20,4
3,2026-07-15T11:19:00.084141,36.5,36.58,-477.42556876764866,129.8125449893996,-897.3424447778962,1325.1596257303027,0.9720597863197327,0.9711889028549194,17.0,7.2739808901322075e-06,20,4
4,2026-07-15T11:19:00.579533,37.0,37.08,-481.6607432029559,129.22911605157424,-895.9256021684268,1326.7847233384964,0.9749062061309814,0.968151867389679,18.0,7.265328645350607e-06,20,4
5,2026-07-15T11:19:01.056274,37.5,37.58,-476.8567058694316,130.01410748343915,-893.6143259916571,1328.5495761915809,0.9745690226554871,0.9688993692398071,18.0,7.274293968707325e-06,20,4
6,2026-07-15T11:19:01.549641,38.0,38.08,-478.9298076147679,125.58681879600044,-899.7356057178695,1331.002182320226,0.9715553522109985,0.9706881642341614,17.0,7.269082007880029e-06,20,4
7,2026-07-15T11:19:02.043223,38.5,38.58,-485.84513333800714,129.15392379305558,-895.4606699311989,1334.2067110340577,0.9746502041816711,0.970327615737915,18.0,7.259179366186972e-06,20,4
8,2026-07-15T11:19:02.538162,39.0,39.08,-478.49951893120306,128.09099657839397,-893.7780955180642,1338.5981751375948,0.9750614166259766,0.9684547781944275,18.0,7.271004122328421e-06,20,4
9,2026-07-15T11:19:03.047073,39.5,39.58,-480.707651800476,127.00011831475422,-896.1543283579522,1337.6687043398852,0.9751328825950623,0.9688605070114136,18.0,7.265890249732836e-06,20,4
