sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW
0,2026-07-02T11:48:12.593081,15.0,0.0,-53.49752039066516,79.44239267031662,1618.1566934820148,493.68520573800197,0.9821926951408386,0.9752054810523987,32.0,7.96228278351176e-06
1,2026-07-02T11:48:13.058809,15.5,15.55,-55.9662672659033,83.15988218440907,1619.7900583018782,493.03721381380456,0.9823318123817444,0.9761825799942017,32.0,7.953678065472345e-06
2,2026-07-02T11:48:13.479941,16.0,15.55,-51.55433197156526,80.86474675423233,1619.0995492890943,492.89627753867535,0.9818321466445923,0.9752431511878967,32.0,7.96226180213188e-06
3,2026-07-02T11:48:13.910497,16.5,16.56,-46.077107402088586,85.09086662437767,1619.3621316787903,494.0958105842583,0.9799642562866211,0.9749630093574524,33.0,7.995832600819551e-06
4,2026-07-02T11:48:14.327269,17.0,16.56,-40.05070377170341,85.54792532668216,1619.7282510527293,494.4579931907356,0.9790681004524231,0.9748574495315552,32.0,8.012058753378036e-06
5,2026-07-02T11:48:14.719815,17.5,17.05,-45.470057859492954,83.71457271976396,1617.3693399896729,495.49178832618054,0.9796844720840454,0.974471390247345,32.0,7.99511625921242e-06
6,2026-07-02T11:48:15.123995,18.0,17.56,-39.35586431471165,86.37897693784907,1622.27179650974,494.81781373673584,0.9831807017326355,0.9751219749450684,33.0,8.021381855356065e-06
7,2026-07-02T11:48:15.522309,18.5,18.06,-43.10406061500544,87.04783372959355,1623.4016487712506,495.13354248716496,0.9830697774887085,0.9759538769721985,33.0,8.010320673487994e-06
8,2026-07-02T11:48:15.950959,19.0,18.56,-33.01373193389736,85.68531851109583,1625.1078437891556,493.9706213789759,0.981841504573822,0.9756689667701721,34.0,8.040470231355421e-06
9,2026-07-02T11:48:16.347651,19.5,19.06,-39.98968387604691,87.76904952857876,1625.5664771984448,495.34770263708197,0.9808581471443176,0.9743971824645996,33.0,8.018585194876876e-06
10,2026-07-02T11:48:16.739027,20.0,19.56,-35.34272356424481,87.33836716826772,1625.3097999599413,496.61731014348334,0.9835907816886902,0.9750595092773438,34.0,8.040272484354368e-06
11,2026-07-02T11:48:17.127701,20.5,20.06,-36.17653091263492,88.61387982586166,1627.1104773969273,496.2011938227806,0.9815727472305298,0.9749866724014282,33.0,8.030567675229e-06
12,2026-07-02T11:48:17.532683,21.0,20.56,-29.21750707057072,89.63153421471361,1627.6958747184835,495.53627379849786,0.9824333786964417,0.9748978614807129,34.0,8.059023551144052e-06
13,2026-07-02T11:48:17.921652,21.5,21.06,-36.19149062898941,86.63250476238318,1632.7105291112093,496.50983639177866,0.984540581703186,0.9742234349250793,34.0,8.045676964048707e-06
14,2026-07-02T11:48:18.325879,22.0,21.57,-28.14080116979312,88.81859173387056,1633.5234715920524,496.10316831298405,0.984343945980072,0.9738703966140747,34.0,8.055315125825953e-06
15,2026-07-02T11:48:18.722390,22.5,22.07,-28.944689085474238,89.7795566712739,1630.4791693139123,497.17869318352314,0.9833608865737915,0.9759954810142517,34.0,8.066218798037553e-06
