sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW
0,2026-07-02T11:59:13.154942,15.0,0.0,-171.53086345788324,11.29183011042187,1601.730137571285,70.36381322686793,0.9792050123214722,0.9710135459899902,22.0,7.44899663900777e-06
1,2026-07-02T11:59:13.572558,15.5,15.03,-153.24221653776476,11.778020891943015,1602.4151351096225,73.34119045815896,0.979591965675354,0.9732505083084106,24.0,7.532656542739514e-06
2,2026-07-02T11:59:13.969994,16.0,15.53,-149.47433640016243,9.32738314702874,1595.070701733057,76.94097062514629,0.980219841003418,0.9736769199371338,24.0,7.553600149787536e-06
3,2026-07-02T11:59:14.366047,16.5,16.03,-132.63678196643014,11.02767301374115,1602.683228973765,78.0487769888714,0.9802896976470947,0.9746270179748535,25.0,7.606197580050957e-06
4,2026-07-02T11:59:14.763589,17.0,16.53,-147.75081960542593,12.585845575085841,1601.624238526565,82.35914368269732,0.9796872138977051,0.9742387533187866,24.0,7.552485580691432e-06
5,2026-07-02T11:59:15.153454,17.5,17.03,-173.6019968194887,11.825262101483531,1599.2669021704933,82.54968322784407,0.9795874357223511,0.9728509187698364,22.0,7.441842090709273e-06
6,2026-07-02T11:59:15.552710,18.0,17.53,-188.9723180202418,12.93936729314737,1598.4287643778953,85.45737967506284,0.9781776666641235,0.9699323773384094,22.0,7.406126756200166e-06
7,2026-07-02T11:59:15.963102,18.5,18.03,-190.06595202110475,12.412627806770615,1599.084629837016,86.0152196243871,0.977059543132782,0.9721148014068604,20.0,7.369644148045224e-06
8,2026-07-02T11:59:16.363997,19.0,18.53,-152.86664892191766,13.096050638123415,1593.5180406461586,91.25505711592268,0.9795980453491211,0.9721127152442932,23.0,7.534555698440048e-06
9,2026-07-02T11:59:16.763621,19.5,19.03,-180.66652602952672,12.607891472871415,1596.864686665358,89.21896098472644,0.9792996048927307,0.971827507019043,22.0,7.43976372157117e-06
10,2026-07-02T11:59:17.153251,20.0,19.53,-171.13718671171227,11.17766385403229,1597.9878464221838,92.55970185273327,0.9787965416908264,0.9719938039779663,22.0,7.462874058983334e-06
11,2026-07-02T11:59:17.556451,20.5,20.04,-161.56926707277307,14.081817210535519,1596.3560563093051,91.55464511975879,0.9797115921974182,0.97271728515625,22.0,7.481829331258282e-06
12,2026-07-02T11:59:17.953730,21.0,20.53,-169.35343737481162,11.641021384275518,1597.7091232858947,93.26753264234867,0.9790694117546082,0.9720472097396851,22.0,7.466408115209364e-06
13,2026-07-02T11:59:18.367451,21.5,21.03,-157.9431105637923,8.98567173135234,1597.5630692130653,95.03710961638717,0.9796200394630432,0.9729608297348022,23.0,7.519157895501401e-06
14,2026-07-02T11:59:18.774033,22.0,21.54,-159.8630720548681,12.530337153875735,1599.5031082181958,96.6787416479201,0.9784922003746033,0.9747055768966675,23.0,7.520769584858153e-06
15,2026-07-02T11:59:19.181711,22.5,22.04,-142.51413152785972,12.6948940337752,1596.800123678986,96.61496601504041,0.9809665083885193,0.9745005369186401,24.0,7.572153977757692e-06
