sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-06T14:28:21.660237,75.0,75.05,-145.98242366162594,29.19349278905429,1580.9400686059962,285.3691871179035,0.977587878704071,0.9731879830360413,22.0,7.483597351173603e-06,20,4
1,2026-07-06T14:28:22.072863,75.5,75.55,-154.32010346878087,28.6726584538701,1580.2196401605033,294.6276768343523,0.9798229932785034,0.9696442484855652,22.0,7.466519606169484e-06,20,4
2,2026-07-06T14:28:22.503117,76.0,76.06,-148.34842090611346,30.42963777203113,1582.1915669820737,294.2048680089647,0.9789727330207825,0.9725877642631531,22.0,7.476645986617192e-06,20,4
3,2026-07-06T14:28:22.915841,76.5,76.56,-149.97036910033785,29.089168451318983,1579.7464407116058,297.1109897491988,0.9791706204414368,0.9725369215011597,22.0,7.475076582092092e-06,20,4
4,2026-07-06T14:28:23.327961,77.0,77.05,-150.1376817174605,31.08550323115196,1577.936708709458,298.60696138464846,0.97776198387146,0.9718708992004395,22.0,7.47550337497397e-06,20,4
5,2026-07-06T14:28:23.765216,77.5,77.55,-154.39805146452272,29.191130728577264,1576.385228652798,301.5705599298235,0.977383553981781,0.9727663397789001,23.0,7.466631098794425e-06,20,4
6,2026-07-06T14:28:24.178926,78.0,78.05,-143.94160340947565,31.67090055270819,1581.4018514292547,302.90158100862755,0.9795050024986267,0.9696299433708191,23.0,7.488489515420254e-06,20,4
7,2026-07-06T14:28:24.593142,78.5,78.56,-144.6242388873361,30.079265467938967,1580.8503103078692,307.6087738625938,0.9793761968612671,0.9706814289093018,22.0,7.486391542718965e-06,20,4
8,2026-07-06T14:28:25.005523,79.0,79.05,-146.4997149060946,28.315987321839202,1577.8855307324557,308.62524722120725,0.9783147573471069,0.9726969003677368,22.0,7.483459312280331e-06,20,4
9,2026-07-06T14:28:25.419073,79.5,79.55,-155.96645962126786,29.394661606347654,1578.1800009385915,309.02522279531695,0.9774211645126343,0.9727509617805481,22.0,7.4642376523749275e-06,20,4
10,2026-07-06T14:28:25.870490,80.0,80.06,-152.805235349515,31.750816932180896,1579.7133718649275,313.12418507644907,0.9775541424751282,0.9726187586784363,22.0,7.471282480011414e-06,20,4
11,2026-07-06T14:28:26.283206,80.5,80.56,-158.62417133466806,32.087804226903245,1580.5255269922782,314.18632493761834,0.9798425436019897,0.9723896384239197,23.0,7.46316904605067e-06,20,4
12,2026-07-06T14:28:26.697761,81.0,81.05,-144.76045104151126,33.26883446541615,1575.664012853813,316.0417234423221,0.9772482514381409,0.9715200066566467,22.0,7.487798895239376e-06,20,4
13,2026-07-06T14:28:27.111070,81.5,81.55,-149.56803146575112,32.65863550885115,1575.7116477400996,317.92743505648104,0.9780904054641724,0.9730514287948608,22.0,7.480357395491496e-06,20,4
14,2026-07-06T14:28:27.522309,82.0,82.06,-149.4054429695825,31.221321708580945,1577.4520926349214,320.29500700795325,0.9782566428184509,0.9715620279312134,22.0,7.477473504070479e-06,20,4
15,2026-07-06T14:28:27.961714,82.5,82.56,-153.76974337763386,32.18268032273045,1578.7563436949858,321.51658595132176,0.9777241945266724,0.9732362031936646,22.0,7.470790306901714e-06,20,4
16,2026-07-06T14:28:28.390753,83.0,83.05,-142.26572150102584,36.78436780872289,1581.3557912499527,323.9042354168487,0.9799025654792786,0.9722211956977844,23.0,7.50217032957676e-06,20,4
17,2026-07-06T14:28:28.803652,83.5,83.55,-146.3788561450201,34.2620808960055,1576.2131919147214,325.98599805060076,0.9792304039001465,0.9723312258720398,22.0,7.487483204370347e-06,20,4
18,2026-07-06T14:28:29.216550,84.0,84.06,-145.6659075577045,35.73915604763897,1577.934740325727,327.2630854151794,0.9785928130149841,0.9725376963615417,23.0,7.514846343695065e-06,20,4
19,2026-07-06T14:28:29.668999,84.5,84.56,-141.71063728892477,32.868858891306445,1576.670644293772,329.8109613163979,0.9779507517814636,0.9733126759529114,23.0,7.5140806911404475e-06,20,4
20,2026-07-06T14:28:30.098992,85.0,85.05,-136.5085927650216,36.69500318734208,1575.5325248205918,330.06370178743964,0.9778167605400085,0.9736672043800354,23.0,7.529838469465405e-06,20,4
21,2026-07-06T14:28:30.512025,84.5,84.56,-140.38197827059776,36.23873183852993,1577.5324026911403,332.85959403874585,0.9788626432418823,0.9733768701553345,24.0,7.535588192989733e-06,20,4
22,2026-07-06T14:28:30.924548,84.0,84.06,-132.80763767426834,36.920579962898046,1575.8726615292835,331.0459252691362,0.9786936044692993,0.9731749892234802,23.0,7.545377440164474e-06,20,4
23,2026-07-06T14:28:31.361206,83.5,83.56,-135.8157216917607,35.74781693605473,1576.4875846068026,329.378310572356,0.9794085621833801,0.973771333694458,24.0,7.552956598754825e-06,20,4
24,2026-07-06T14:28:31.774790,83.0,83.05,-137.75812275736826,41.89389829727588,1581.5695577231236,330.59516539477045,0.9805286526679993,0.9732548594474792,24.0,7.552551919486477e-06,20,4
25,2026-07-06T14:28:32.203965,82.5,82.56,-134.39848540554522,36.6934284803574,1576.9473990463302,328.1795648802654,0.9798630475997925,0.9732933044433594,24.0,7.553984979693537e-06,20,4
26,2026-07-06T14:28:32.616357,82.0,82.06,-121.50360358471517,35.659239668166265,1581.0676198717556,330.7120873883832,0.9808095693588257,0.974128782749176,25.0,7.607199800451905e-06,20,4
27,2026-07-06T14:28:33.070759,81.5,81.56,-124.71088803577004,41.70572081260616,1577.246199696674,326.65879160980694,0.9772439002990723,0.9736624360084534,24.0,7.581784276443951e-06,20,4
28,2026-07-06T14:28:33.483371,81.0,81.05,-123.09760072996141,36.86074109748006,1576.4509726694087,325.78246717283037,0.9789118766784668,0.9741659760475159,25.0,7.608095229021369e-06,20,4
29,2026-07-06T14:28:33.896839,80.5,80.56,-114.17019315704238,35.33563738281373,1576.576161874691,325.8198664637166,0.9790998101234436,0.9726148247718811,26.0,7.640796913368682e-06,20,4
30,2026-07-06T14:28:34.309495,80.0,80.06,-114.975262102962,39.42515142203774,1577.8280539275147,324.43491167068714,0.9802398085594177,0.9749895930290222,25.0,7.633042449324178e-06,20,4
31,2026-07-06T14:28:34.721953,79.5,79.55,-106.71434926131042,39.42042730108369,1576.744261845306,324.0825709828641,0.9786025881767273,0.9727877974510193,26.0,7.66748776109318e-06,20,4
32,2026-07-06T14:28:35.160045,79.0,79.05,-112.3935300015728,39.511366629449185,1574.029467003711,320.4028744364041,0.979467511177063,0.9741150736808777,25.0,7.64962752971087e-06,20,4
33,2026-07-06T14:28:35.572649,78.5,78.56,-99.82539988006465,41.280943603487685,1579.7090414207196,323.1054652988678,0.9802438020706177,0.9715834259986877,27.0,7.68692898066244e-06,20,4
34,2026-07-06T14:28:35.985696,78.0,78.06,-110.703869407007,39.73418766778195,1572.9421318307868,321.0331509070238,0.9765017032623291,0.9738165736198425,26.0,7.663326744339123e-06,20,4
35,2026-07-06T14:28:36.399358,77.5,77.55,-107.98631882818881,40.88451112009352,1577.1710074381554,318.6533749764203,0.9787420034408569,0.9732447266578674,26.0,7.669495013385148e-06,20,4
36,2026-07-06T14:28:36.813170,77.0,77.05,-116.55548056209227,39.18343389988877,1574.8711478870246,320.97016262763645,0.9802829623222351,0.9736853837966919,25.0,7.623092595796306e-06,20,4
37,2026-07-06T14:28:37.225189,76.5,76.56,-113.96981169324135,36.02260330488207,1576.4245963274152,317.26408973918296,0.978732168674469,0.9738863110542297,25.0,7.632459170643157e-06,20,4
38,2026-07-06T14:28:37.663918,76.0,76.05,-124.49279111839132,33.657787090633065,1575.1549888210138,318.3620541842538,0.9797080755233765,0.9735498428344727,25.0,7.596336098202732e-06,20,4
39,2026-07-06T14:28:38.091201,75.5,75.55,-118.64669143775245,36.35722853912739,1578.319362506736,317.44596839591395,0.9806215763092041,0.9735110998153687,25.0,7.614312675432728e-06,20,4
