sample,timestamp,voltage_setpoint_V,voltage_readback_V,centroid_x_um,centroid_y_um,gaussfit_center_x_um,gaussfit_center_y_um,gaussfit_rating_x,gaussfit_rating_y,peak_intensity_counts,total_power_mW,points_per_ramp,n_cycles
0,2026-07-06T14:35:08.645819,75.0,75.17,-101.30129400145961,-1.8754760187584907,1777.0178582178778,26.40311201219447,0.9802790284156799,0.9751073718070984,24.0,7.596249357924422e-06,20,4
1,2026-07-06T14:35:09.075105,75.5,75.66,-104.0038848639233,-0.8271148437052034,1786.362563141738,26.023213952139486,0.9810558557510376,0.9741923809051514,24.0,7.5956221884618026e-06,20,4
2,2026-07-06T14:35:09.542685,76.0,76.17,-96.48190327483462,0.7684570085257292,1787.3790365003515,27.490840861864854,0.9788414239883423,0.9741675853729248,24.0,7.601415467068226e-06,20,4
3,2026-07-06T14:35:09.956002,76.5,76.67,-104.64990840438986,2.689205853093881,1792.961766437802,27.532964273705147,0.9818090200424194,0.9738471508026123,24.0,7.585521224472809e-06,20,4
4,2026-07-06T14:35:10.370040,77.0,77.16,-97.94638077059062,1.405425983830355,1793.5219684476033,25.588988501112908,0.9805271029472351,0.9731121063232422,24.0,7.61073535192527e-06,20,4
5,2026-07-06T14:35:10.781337,77.5,77.67,-108.74650862504495,-0.5275268398690969,1790.286339270824,30.082808558654506,0.9784606695175171,0.9750315546989441,23.0,7.572666131812243e-06,20,4
6,2026-07-06T14:35:11.220704,78.0,78.17,-104.19088131835451,0.25510253151878715,1796.5001330323867,28.220323872519657,0.9804953932762146,0.973969042301178,24.0,7.580112904768324e-06,20,4
7,2026-07-06T14:35:11.633857,78.5,78.67,-103.55391234304989,0.2594329757266678,1797.3359087645076,28.692342291178647,0.9808910489082336,0.9729976058006287,24.0,7.5836891571128835e-06,20,4
8,2026-07-06T14:35:12.045220,79.0,79.17,-107.46902758372016,0.9936401073355228,1795.5631823764998,29.994231290766038,0.9806724786758423,0.9738536477088928,23.0,7.570704171007505e-06,20,4
9,2026-07-06T14:35:12.459545,79.5,79.67,-113.860763234552,0.09566344931954518,1791.3398182435776,28.59116736741271,0.9800556302070618,0.9745320081710815,23.0,7.558451767467905e-06,20,4
10,2026-07-06T14:35:12.872538,80.0,80.18,-99.10221569734858,-0.1149536098819226,1793.903441214643,29.256087391695473,0.9810716509819031,0.9736414551734924,23.0,7.592093657777478e-06,20,4
11,2026-07-06T14:35:13.325663,80.5,80.67,-108.64179061056348,-0.7676696550333872,1801.4923478505807,30.838274234556593,0.981061577796936,0.9707388877868652,24.0,7.564509044168009e-06,20,4
12,2026-07-06T14:35:13.738450,81.0,81.17,-112.09905979543692,-2.5368529523257166,1796.4261218041065,30.172566856781486,0.979343593120575,0.9727970361709595,23.0,7.554655161327224e-06,20,4
13,2026-07-06T14:35:14.167086,81.5,81.68,-95.56188071903307,0.44091795571148396,1804.9456802679924,29.581658060778864,0.980545163154602,0.9743752479553223,23.0,7.58862675638782e-06,20,4
14,2026-07-06T14:35:14.580630,82.0,82.18,-101.108786072582,2.3821379910805263,1802.8662796947174,30.607185984554235,0.9817192554473877,0.9722570180892944,23.0,7.574096355758353e-06,20,4
15,2026-07-06T14:35:15.017770,82.5,82.68,-105.93329459690722,4.022588992374949,1807.1128707556636,30.947716369992122,0.9807507395744324,0.9716495275497437,23.0,7.5628746955490665e-06,20,4
16,2026-07-06T14:35:15.431429,83.0,83.18,-107.12652881455142,-1.382592732552439,1808.3143721849774,30.38593965320615,0.9806573390960693,0.9732343554496765,23.0,7.5592816993871385e-06,20,4
17,2026-07-06T14:35:15.843393,83.5,83.68,-117.13261067197891,0.4794982768362388,1808.8230025410303,30.717415473482106,0.9803988933563232,0.9714630842208862,24.0,7.536144210196431e-06,20,4
18,2026-07-06T14:35:16.256689,84.0,84.18,-117.13064228824805,-1.027102630760055,1805.5070633080322,30.98708404460922,0.9790871739387512,0.9746068120002747,22.0,7.535852957971733e-06,20,4
19,2026-07-06T14:35:16.670341,84.5,84.68,-111.79199193342356,2.444338916975539,1804.0036118144053,28.95020055992063,0.9792432188987732,0.9723230600357056,22.0,7.547094185599858e-06,20,4
20,2026-07-06T14:35:17.123457,85.0,85.18,-110.47160012676613,-0.2263641290483065,1808.0100600601872,31.52799589384813,0.9798370003700256,0.9708150625228882,22.0,7.546424674708509e-06,20,4
21,2026-07-06T14:35:17.537039,84.5,84.68,-114.01350981206633,1.356610067305155,1807.7427535495372,31.38627226522658,0.9795999526977539,0.9724588990211487,23.0,7.536594349412155e-06,20,4
22,2026-07-06T14:35:17.949478,84.0,84.18,-112.02347386017209,1.5947844987385906,1806.296385184105,31.928758821450174,0.9783685803413391,0.9718919396400452,22.0,7.538759365020011e-06,20,4
23,2026-07-06T14:35:18.378750,83.5,83.68,-112.39471103181131,4.84852280584164,1805.391322344658,31.8456930280081,0.9788333773612976,0.9723047018051147,22.0,7.539520909759983e-06,20,4
24,2026-07-06T14:35:18.815640,83.0,83.18,-112.07780125114368,0.537762435269542,1813.8758435781347,32.05434170347871,0.9821908473968506,0.9718371629714966,23.0,7.539587134677201e-06,20,4
25,2026-07-06T14:35:19.244843,82.5,82.68,-118.10696061875205,-1.8006774369860068,1803.9886520980508,31.06148894963553,0.9793711304664612,0.9718640446662903,22.0,7.528072749764348e-06,20,4
26,2026-07-06T14:35:19.657289,82.0,82.18,-121.05048164987238,0.4377685417421162,1811.5476393012796,32.209844018216245,0.9800455570220947,0.9721328616142273,23.0,7.5140806911404475e-06,20,4
27,2026-07-06T14:35:20.072144,81.5,81.68,-110.60938698792597,1.6955657457583584,1810.952400061069,31.440205979452003,0.9805041551589966,0.97183758020401,23.0,7.541799381119048e-06,20,4
28,2026-07-06T14:35:20.523570,81.0,81.17,-117.02395589003572,2.4159941912512295,1801.8718522338895,30.448927932593506,0.9787397384643555,0.9715337157249451,22.0,7.5298649253434975e-06,20,4
29,2026-07-06T14:35:20.952521,80.5,80.67,-122.34016667032847,0.6700378219829872,1807.1841262467206,31.52878324734047,0.9796800017356873,0.9707658290863037,22.0,7.5052549221383464e-06,20,4
30,2026-07-06T14:35:21.366187,80.0,80.18,-101.96267093502684,-1.4329833560623229,1807.387657124491,33.18143822776619,0.9800260663032532,0.9729750156402588,23.0,7.558119820213826e-06,20,4
31,2026-07-06T14:35:21.778897,79.5,79.67,-122.40551701019285,0.30273741780547425,1807.567567397491,32.48817347775912,0.9805474877357483,0.973010241985321,22.0,7.513882690245187e-06,20,4
32,2026-07-06T14:35:22.217181,79.0,79.17,-130.79831156181172,2.3695403352030553,1806.8105270146043,33.20427147904411,0.9799038767814636,0.9707374572753906,22.0,7.48591810040814e-06,20,4
33,2026-07-06T14:35:22.629464,78.5,78.67,-118.71479751484003,-1.4408568909857422,1806.2377273489255,30.76741242024582,0.9789104461669922,0.9723761677742004,22.0,7.515354621661356e-06,20,4
34,2026-07-06T14:35:23.042017,78.0,78.17,-123.72472778661177,-0.16495055664563552,1804.650029031618,31.067787777574267,0.9780880808830261,0.9736301302909851,22.0,7.502664569991619e-06,20,4
35,2026-07-06T14:35:23.455403,77.5,77.67,-121.52289374527754,-1.4361327700316906,1806.5845565623022,32.52399806166068,0.9814909100532532,0.9706270098686218,22.0,7.500088287516158e-06,20,4
